time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.367962,-0.0095E-06NADC,258.12,265
0.6104881763458252,1.368093,+0.0001E-06NADC,257.96,260
17.89014434814453,1.368105,+0.0094E-06NADC,257.96,260
19.110071897506714,1.368116,+0.0001E-06NADC,257.97,260
20.129303693771362,1.368122,+0.0001E-06NADC,257.97,260
20.770081281661987,1.368122,-0.0000E-06NADC,257.98,260
21.39036273956299,1.368134,-0.0093E-06NADC,257.99,260
22.00973677635193,1.368131,-0.0001E-06NADC,257.99,260
22.630393743515015,1.368143,-0.0000E-06NADC,258.0,260
23.25113296508789,1.368146,+0.0001E-06NADC,258.01,260
23.870782136917114,1.368148,-0.0000E-06NADC,258.02,260
24.49153161048889,1.368157,+0.0092E-06NADC,258.04,260
25.110423803329468,1.36816,+0.0000E-06NADC,258.06,260
26.25102734565735,1.368169,+0.0000E-06NADC,258.07,260
26.87185788154602,1.368175,+0.0001E-06NADC,258.09,260
27.49065899848938,1.36818,+0.0094E-06NADC,258.11,260
28.110807418823242,1.368183,+0.0003E-06NADC,258.13,260
28.731215715408325,1.368186,+0.0000E-06NADC,258.14,260
29.350943326950073,1.368192,+0.0000E-06NADC,258.16,260
29.971328496932983,1.368189,-0.0000E-06NADC,258.18,260
30.591980695724487,1.368201,-0.0093E-06NADC,258.21,260
31.210989952087402,1.368201,+0.0000E-06NADC,258.23,260
31.83154559135437,1.368212,-0.0000E-06NADC,258.25,260
32.45224952697754,1.36821,+0.0000E-06NADC,258.28,260
33.07159495353699,1.368215,+0.0001E-06NADC,258.3,260
33.690168142318726,1.368221,+0.0094E-06NADC,258.33,260
34.31066608428955,1.368218,+0.0002E-06NADC,258.35,260
34.93070125579834,1.368224,+0.0003E-06NADC,258.38,260
35.557557582855225,1.368233,+0.0001E-06NADC,258.41,260
36.17026662826538,1.368239,+0.0000E-06NADC,258.43,260
36.77051401138306,1.368244,+0.0001E-06NADC,258.46,260
37.390028953552246,1.36825,-0.0086E-06NADC,258.49,260
38.01151919364929,1.36825,-0.0004E-06NADC,258.52,260
38.629804611206055,1.368259,-0.0000E-06NADC,258.55,260
39.24912166595459,1.368265,+0.0004E-06NADC,258.58,260
39.868990421295166,1.368265,+0.0000E-06NADC,258.61,260
40.48932099342346,1.368271,+0.0055E-06NADC,258.64,260
41.10845398902893,1.368271,+0.0058E-06NADC,258.67,260
41.72891616821289,1.368276,+0.0000E-06NADC,258.7,260
42.349586963653564,1.368282,+0.0001E-06NADC,258.72,260
42.968652963638306,1.368285,+0.0001E-06NADC,258.75,260
43.58849120140076,1.368288,-0.0094E-06NADC,258.79,260
44.228174448013306,1.368294,+0.0000E-06NADC,258.81,260
44.84842085838318,1.368303,+0.0001E-06NADC,258.84,260
45.4674289226532,1.368305,+0.0003E-06NADC,258.87,260
46.08741497993469,1.368305,+0.0000E-06NADC,258.9,260
46.70782470703125,1.368308,+0.0095E-06NADC,258.93,260
47.32759761810303,1.368317,+0.0001E-06NADC,258.95,260
47.94778752326965,1.368323,+0.0001E-06NADC,258.98,260
48.56688737869263,1.368329,+0.0001E-06NADC,259.0,260
49.187718629837036,1.368329,+0.0003E-06NADC,259.03,260
49.807425022125244,1.368332,-0.0091E-06NADC,259.05,260
50.42652130126953,1.368335,-0.0001E-06NADC,259.08,260
51.047157526016235,1.36834,+0.0001E-06NADC,259.1,260
51.66704344749451,1.368337,+0.0002E-06NADC,259.12,260
52.28671860694885,1.368349,+0.0001E-06NADC,259.14,260
52.90671634674072,1.368349,+0.0099E-06NADC,259.16,260
53.52535915374756,1.368358,+0.0005E-06NADC,259.18,260
54.14585089683533,1.368364,-0.0001E-06NADC,259.2,260
54.76592445373535,1.368367,+0.0002E-06NADC,259.22,260
55.40555739402771,1.368364,-0.0090E-06NADC,259.24,260
56.02527689933777,1.368369,+0.0001E-06NADC,259.25,260
56.64540457725525,1.368369,+0.0000E-06NADC,259.27,260
57.26562452316284,1.368384,+0.0001E-06NADC,259.28,260
57.86493182182312,1.368387,+0.0002E-06NADC,259.29,260
58.48432207107544,1.368387,+0.0000E-06NADC,259.31,260
59.10461759567261,1.368393,+0.0095E-06NADC,259.32,260
59.723548889160156,1.368393,+0.0003E-06NADC,259.33,260
60.343266010284424,1.368404,+0.0002E-06NADC,259.34,260
60.984246015548706,1.368407,+0.0001E-06NADC,259.35,260
61.60355186462402,1.36841,-0.0091E-06NADC,259.35,260
62.22260117530823,1.36841,+0.0000E-06NADC,259.36,260
