time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+3.38702200E+00,+1.598004E-03,279.75,270.35,279.75,
0.6392621994018555,+3.38702200E+00,+1.598003E-03,279.75,270.35,279.75,
1.269876480102539,+3.38701400E+00,+1.597991E-03,279.75,270.35,279.75,
1.890577793121338,+3.38701100E+00,+1.598000E-03,279.75,270.35,279.74,
2.5097320079803467,+3.38700500E+00,+1.597999E-03,279.75,270.35,279.74,
3.1396923065185547,+3.38700500E+00,+1.597996E-03,279.75,270.35,279.74,
3.8509681224823,+3.38700500E+00,+1.597996E-03,279.75,270.35,279.74,
4.470940113067627,+3.38699900E+00,+1.597984E-03,279.75,270.35,279.74,
5.091568946838379,+3.38699300E+00,+1.597994E-03,279.75,270.35,279.74,
5.711869955062866,+3.38699600E+00,+1.597992E-03,279.75,270.35,279.74,
6.340281248092651,+3.38698700E+00,+1.597990E-03,279.75,270.35,279.74,
6.971432685852051,+3.38698500E+00,+1.597996E-03,279.75,270.34,279.74,
7.59173846244812,+3.38697900E+00,+1.597987E-03,279.74,270.34,279.74,
8.219601392745972,+3.38697900E+00,+1.597986E-03,279.74,270.34,279.73,
8.855303049087524,+3.38697600E+00,+1.597974E-03,279.74,270.34,279.73,
9.49253249168396,+3.38698200E+00,+1.597982E-03,279.74,270.34,279.73,
10.11267900466919,+3.38697900E+00,+1.597980E-03,279.74,270.34,279.73,
10.742723226547241,+3.38696700E+00,+1.597979E-03,279.74,270.34,279.73,
11.372760772705078,+3.38697300E+00,+1.597989E-03,279.74,270.34,279.73,
11.993570327758789,+3.38696400E+00,+1.597977E-03,279.74,270.34,279.73,
