time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.379027,+0.0001E-06NADC,219.81,238.47,215
0.6301426887512207,1.379024,+0.0002E-06NADC,219.66,238.45,215
1.264540672302246,1.379027,+0.0000E-06NADC,219.51,238.43,215
1.8841023445129395,1.379027,-0.0097E-06NADC,219.36,238.41,215
2.504622459411621,1.379036,-0.0000E-06NADC,219.18,238.38,215
3.1280593872070312,1.379039,-0.0000E-06NADC,219.03,238.36,215
3.7645816802978516,1.379036,+0.0001E-06NADC,218.88,238.34,215
4.384030103683472,1.379039,+0.0096E-06NADC,218.72,238.31,215
5.003767967224121,1.379048,+0.0001E-06NADC,218.55,238.29,215
5.629338264465332,1.379048,+0.0001E-06NADC,218.39,238.27,215
6.263828992843628,1.37905,+0.0010E-06NADC,218.24,238.24,215
6.883390188217163,1.37905,-0.0118E-06NADC,218.09,238.22,215
7.503167629241943,1.379059,-0.0008E-06NADC,217.91,238.19,215
8.128030061721802,1.379062,-0.0005E-06NADC,217.75,238.17,215
8.76347017288208,1.379065,+0.0004E-06NADC,217.6,238.15,215
9.382843732833862,1.379068,+0.0022E-06NADC,217.44,238.12,215
10.002999544143677,1.379065,-0.0012E-06NADC,217.26,238.09,215
10.629208326339722,1.379068,+0.0009E-06NADC,217.11,238.07,215
11.264013290405273,1.379082,-0.0005E-06NADC,216.95,238.05,215
11.883732080459595,1.37773,+11.79150E-03NADC,216.8,238.02,215
12.502989530563354,1.362228,+11.76926E-03NADC,216.62,237.99,215
13.129639625549316,1.377082,-0.0059E-06NADC,216.46,237.97,215
13.762083292007446,1.377373,+0.0002E-06NADC,216.31,237.95,215
14.38257098197937,1.377512,+0.0093E-06NADC,216.15,237.92,215
15.003010988235474,1.377605,+0.0014E-06NADC,215.97,237.89,215
15.630241870880127,1.377675,+0.0240E-06NADC,215.82,237.87,215
16.261224031448364,1.377722,+0.0030E-06NADC,215.66,237.84,215
16.881798267364502,1.377768,-0.0064E-06NADC,215.51,237.82,215
17.501971006393433,1.377809,-0.0001E-06NADC,215.33,237.79,215
18.130675315856934,1.377835,+0.0029E-06NADC,215.17,237.76,215
18.761788606643677,1.377864,+0.0003E-06NADC,215.02,237.74,215
19.381781816482544,1.377887,+0.0098E-06NADC,214.86,237.71,215
20.001886129379272,1.377911,+0.0016E-06NADC,214.68,237.68,215
20.62955951690674,1.377931,+0.0001E-06NADC,214.52,237.66,215
21.26185894012451,1.377951,-0.0026E-06NADC,214.36,237.63,215
21.88185691833496,1.377977,-0.0079E-06NADC,214.2,237.61,215
22.500948429107666,1.377986,-0.0056E-06NADC,214.01,237.58,215
23.128946542739868,1.378001,+0.0047E-06NADC,213.85,237.55,215
23.7605242729187,1.378021,+0.0010E-06NADC,213.69,237.52,215
24.380348682403564,1.378033,+0.0006E-06NADC,213.52,237.5,215
