time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,0.4102711,+135.8092E-06NADC,215.1,226.43,216
0.5705671310424805,0.4101661,+135.7744E-06NADC,215.1,226.43,216
1.1434152126312256,0.4100642,+135.7432E-06NADC,215.1,226.43,216
1.7226879596710205,0.4099691,+135.7122E-06NADC,215.1,226.43,216
2.28233003616333,0.4098734,+135.6799E-06NADC,215.1,226.43,216
2.8420939445495605,0.4097803,+135.6454E-06NADC,215.1,226.43,216
3.4006664752960205,0.4096878,+135.6197E-06NADC,215.1,226.43,216
3.968963861465454,0.4095941,+135.5890E-06NADC,215.1,226.42,216
4.539639234542847,0.4095013,+135.5580E-06NADC,215.1,226.42,216
5.099107980728149,0.4094088,+135.5280E-06NADC,215.09,226.42,216
5.668574571609497,0.4093154,+135.4980E-06NADC,215.09,226.42,216
6.238402843475342,0.4092241,+135.4659E-06NADC,215.08,226.42,216
6.798478841781616,0.409131,+135.4351E-06NADC,215.06,226.42,216
7.36640477180481,0.4090347,+135.4031E-06NADC,215.04,226.42,216
7.93825888633728,0.4089381,+135.3718E-06NADC,215.02,226.42,216
8.497736692428589,0.4088412,+135.3404E-06NADC,215.0,226.41,216
9.06673002243042,0.4087423,+135.3067E-06NADC,214.96,226.41,216
9.636200904846191,0.4086426,+135.2731E-06NADC,214.92,226.41,216
10.195881843566895,0.4085422,+135.2408E-06NADC,214.88,226.41,216
10.764455795288086,0.4084363,+135.2058E-06NADC,214.83,226.4,216
11.334941387176514,0.4083301,+135.1715E-06NADC,214.78,226.4,216
11.894121646881104,0.4082225,+135.1343E-06NADC,214.73,226.4,216
12.45441484451294,0.4081073,+135.0955E-06NADC,214.66,226.39,216
13.033153772354126,0.4079924,+135.0577E-06NADC,214.59,226.39,216
13.593540668487549,0.4078737,+135.0177E-06NADC,214.53,226.39,216
14.15257716178894,0.4077489,+134.9811E-06NADC,214.45,226.38,216
14.71291184425354,0.4076214,+134.9341E-06NADC,214.36,226.37,216
15.27247953414917,0.4074885,+134.8904E-06NADC,214.29,226.37,216
15.832197904586792,0.4073509,+134.8436E-06NADC,214.2,226.36,216
16.39084792137146,0.4072089,+134.7961E-06NADC,214.12,226.35,216
16.951871871948242,0.40706,+134.7514E-06NADC,214.02,226.35,216
17.51177978515625,0.4069058,+134.6937E-06NADC,213.92,226.34,216
18.070435762405396,0.4067438,+134.6391E-06NADC,213.83,226.33,216
18.629783153533936,0.4065779,+134.5849E-06NADC,213.72,226.32,216
19.189998626708984,0.4064051,+134.5259E-06NADC,213.63,226.31,216
19.7490656375885,0.4062248,+134.4704E-06NADC,213.52,226.3,216
20.30923056602478,0.406038,+134.4030E-06NADC,213.4,226.29,216
20.87052345275879,0.4058443,+134.3357E-06NADC,213.3,226.28,216
21.428266286849976,0.4056441,+134.2704E-06NADC,213.18,226.26,216
