time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+3.38658300E+00,+1.597798E-03,279.6,270.21,279.6,";
"
0.6328830718994141,+3.38657500E+00,+1.597797E-03,279.6,270.21,279.6,";
"
1.2529819011688232,+3.38657700E+00,+1.597794E-03,279.6,270.21,279.6,";
"
1.8939299583435059,+3.38657200E+00,+1.597794E-03,279.6,270.21,279.6,";
"
2.5344014167785645,+3.38656900E+00,+1.597792E-03,279.6,270.21,279.6,";
"
3.1943376064300537,+3.38656600E+00,+1.597790E-03,279.6,270.21,279.6,";
"
3.812293767929077,+3.38656000E+00,+1.597789E-03,279.6,270.21,279.6,";
"
4.434897184371948,+3.38656000E+00,+1.597799E-03,279.6,270.2,279.6,";
"
5.089876651763916,+3.38655400E+00,+1.597787E-03,279.6,270.2,279.6,";
"
5.71547794342041,+3.38654800E+00,+1.597785E-03,279.6,270.2,279.59,";
"
6.355835199356079,+3.38655100E+00,+1.597784E-03,279.6,270.2,279.59,";
"
6.996593713760376,+3.38654300E+00,+1.597783E-03,279.6,270.2,279.59,";
"
7.635370254516602,+3.38654000E+00,+1.597781E-03,279.59,270.2,279.59,";
"
8.295958757400513,+3.38654000E+00,+1.597780E-03,279.59,270.2,279.59,";
"
8.935859441757202,+3.38654300E+00,+1.597768E-03,279.59,270.2,279.59,";
"
9.588897705078125,+3.38652800E+00,+1.597776E-03,279.59,270.2,279.59,";
"
10.216434717178345,+3.38652800E+00,+1.597775E-03,279.59,270.2,279.59,";
"
10.856663703918457,+3.38652500E+00,+1.597774E-03,279.59,270.19,279.59,";
"
11.496794939041138,+3.38652500E+00,+1.597773E-03,279.59,270.19,279.58,";
"
12.1369788646698,+3.38652200E+00,+1.597761E-03,279.59,270.19,279.58,";
"
12.785756587982178,+3.38652200E+00,+1.597770E-03,279.59,270.19,279.58,";
"
13.416582822799683,+3.38651300E+00,+1.597769E-03,279.59,270.19,279.58,";
"
14.057714939117432,+3.38651100E+00,+1.597767E-03,279.59,270.19,279.58,";
"
14.69689393043518,+3.38651100E+00,+1.597766E-03,279.59,270.19,279.58,";
"
15.337827920913696,+3.38650500E+00,+1.597764E-03,279.59,270.19,279.58,";
"
16.41765809059143,+3.38650200E+00,+1.597761E-03,279.58,270.19,279.58,";
"
17.43757915496826,+3.38649900E+00,+1.597758E-03,279.58,270.18,279.57,";
"
18.459044456481934,+3.38649000E+00,+1.597767E-03,279.58,270.18,279.57,";
"
19.487634658813477,+3.38648400E+00,+1.597755E-03,279.58,270.18,279.57,";
"
20.49987554550171,+3.38648200E+00,+1.597753E-03,279.58,270.18,279.57,";
"
21.12044095993042,+3.38648200E+00,+1.597751E-03,279.58,270.18,279.57,";
"
