time [s],voltage [V],current [...],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+3.45271700E+00,+1.629074E-03,288.17,296.14,290.0
0.6341197490692139,+3.45271100E+00,+1.629070E-03,288.18,296.13,290.0
1.268404245376587,+3.45269900E+00,+1.629066E-03,288.18,296.12,290.0
1.9077022075653076,+3.45270200E+00,+1.629073E-03,288.19,296.11,290.0
2.5491132736206055,+3.45268200E+00,+1.629059E-03,288.19,296.09,290.0
3.188464879989624,+3.45268200E+00,+1.629046E-03,288.2,296.08,290.0
3.847956418991089,+3.45267300E+00,+1.629052E-03,288.21,296.07,290.0
4.488140106201172,+3.45266700E+00,+1.629048E-03,288.21,296.06,290.0
5.2342798709869385,+3.45265300E+00,+1.629044E-03,288.22,296.05,290.0
5.888510227203369,+3.45265000E+00,+1.629038E-03,288.22,296.03,290.0
