time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.001987934112548828,1.374889,+0.0002E-06NADC,229.5,247.54,0
0.6246325969696045,1.374895,-0.0091E-06NADC,229.51,247.53,0
1.2442045211791992,1.374898,+0.0010E-06NADC,229.52,247.53,0
1.8634448051452637,1.374904,+0.0003E-06NADC,229.53,247.52,0
2.50221848487854,1.374904,+0.0098E-06NADC,229.54,247.52,0
3.1446313858032227,1.374912,+0.0002E-06NADC,229.56,247.51,0
3.781980037689209,1.374915,+0.0001E-06NADC,229.57,247.51,0
4.420818090438843,1.374912,+0.0000E-06NADC,229.59,247.5,0
5.0611302852630615,1.374924,+0.0001E-06NADC,229.6,247.5,0
5.700162649154663,1.374924,+0.0001E-06NADC,229.61,247.5,0
6.319111585617065,1.374921,+0.0090E-06NADC,229.63,247.49,0
6.9446916580200195,1.37493,+0.0003E-06NADC,229.64,247.49,0
7.578376531600952,1.374936,+0.0002E-06NADC,229.64,247.48,0
8.198444604873657,1.37493,+0.0001E-06NADC,229.64,247.48,0
8.818049430847168,1.374936,+0.0002E-06NADC,229.64,247.48,0
9.444073915481567,1.374936,+0.0001E-06NADC,229.64,247.47,0
10.077269077301025,1.374936,+0.0002E-06NADC,229.63,247.47,0
10.696892261505127,1.374947,+0.0001E-06NADC,229.62,247.46,0
11.315625667572021,1.37495,+0.0000E-06NADC,229.6,247.46,0
11.944260597229004,1.374959,+0.0001E-06NADC,229.58,247.45,0
12.575479984283447,1.374953,+0.0000E-06NADC,229.56,247.45,0
13.194361448287964,1.374956,+0.0003E-06NADC,229.54,247.44,0
13.814788341522217,1.374962,+0.0003E-06NADC,229.5,247.44,0
14.441915035247803,1.374962,+0.0001E-06NADC,229.47,247.43,0
15.073198080062866,1.374968,+0.0003E-06NADC,229.44,247.42,0
15.693581342697144,1.374971,+0.0002E-06NADC,229.4,247.42,0
16.31227159500122,1.374976,+0.0001E-06NADC,229.36,247.41,0
16.94046378135681,1.374976,+0.0097E-06NADC,229.31,247.4,0
17.55130410194397,1.374982,+0.0002E-06NADC,229.26,247.4,0
18.170711278915405,1.374982,+0.0003E-06NADC,229.22,247.39,0
18.790520906448364,1.374982,+0.0003E-06NADC,229.17,247.38,0
19.410494327545166,1.374991,+0.0003E-06NADC,229.12,247.37,0
20.03779935836792,1.375,-0.0095E-06NADC,229.05,247.36,0
20.649255514144897,1.374994,+0.0000E-06NADC,229.0,247.35,0
21.269897937774658,1.375,+0.0002E-06NADC,228.94,247.35,0
21.88996148109436,1.375005,+0.0002E-06NADC,228.88,247.34,0
22.50799584388733,1.375003,+0.0002E-06NADC,228.82,247.33,0
23.12841820716858,1.375011,+0.0098E-06NADC,228.75,247.32,0
23.747775316238403,1.375017,+0.0004E-06NADC,228.69,247.31,0
24.368415117263794,1.375014,+0.0002E-06NADC,228.63,247.3,0
24.987263441085815,1.375023,+0.0002E-06NADC,228.56,247.28,0
25.6071035861969,1.375023,+0.0001E-06NADC,228.49,247.27,0
26.227195501327515,1.375023,-0.0080E-06NADC,228.41,247.26,0
26.84659194946289,1.375026,-0.0029E-06NADC,228.34,247.25,0
27.46630096435547,1.375032,+0.0001E-06NADC,228.27,247.24,0
28.0853374004364,1.375029,+0.0003E-06NADC,228.2,247.23,0
28.705646514892578,1.37504,+0.0000E-06NADC,228.11,247.21,0
29.525389432907104,1.375049,+0.0098E-06NADC,227.97,247.19,0
30.56418228149414,1.375049,+0.0003E-06NADC,227.84,247.17,0
31.583119869232178,1.375061,+0.0003E-06NADC,227.72,247.15,0
32.60226893424988,1.375055,+0.0003E-06NADC,227.59,247.12,0
33.62277364730835,1.375064,+0.0000E-06NADC,227.44,247.1,0
34.64449954032898,1.375072,-0.0095E-06NADC,227.31,247.08,0
35.661359786987305,1.375075,+0.0000E-06NADC,227.17,247.05,0
36.68027353286743,1.375081,+0.0000E-06NADC,227.03,247.03,0
37.699939489364624,1.375081,+0.0001E-06NADC,226.9,247.0,0
38.71891498565674,1.375099,+0.0003E-06NADC,226.74,246.98,0
39.74476599693298,1.375099,+0.0099E-06NADC,226.6,246.95,0
40.757720947265625,1.375107,+0.0003E-06NADC,226.46,246.93,0
41.77768611907959,1.37511,+0.0001E-06NADC,226.31,246.9,0
42.796688079833984,1.375119,+0.0001E-06NADC,226.17,246.87,0
43.81655693054199,1.375128,+0.0002E-06NADC,226.01,246.85,0
44.84296011924744,1.375133,-0.0089E-06NADC,225.86,246.82,0
45.85447859764099,1.375133,-0.0018E-06NADC,225.71,246.79,0
46.87466740608215,1.375139,+0.0001E-06NADC,225.57,246.76,0
47.89365744590759,1.375148,+0.0002E-06NADC,225.42,246.74,0
48.913045167922974,1.37516,+0.0001E-06NADC,225.27,246.71,0
49.93940448760986,1.37516,+0.0004E-06NADC,225.1,246.68,0
50.950599670410156,1.375165,+0.0100E-06NADC,225.01,246.66,0
51.56973099708557,1.375174,+0.0002E-06NADC,224.92,246.64,0
52.190654039382935,1.375168,+0.0001E-06NADC,224.83,246.63,0
52.81000804901123,1.375174,+0.0001E-06NADC,224.74,246.61,0
53.42927050590515,1.37518,+0.0002E-06NADC,224.63,246.59,0
