time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.361699,+0.0002E-06NADC,292.79,293.41,0
0.625138521194458,1.361725,-0.0101E-06NADC,292.75,293.41,0
1.2459399700164795,1.361739,+0.0001E-06NADC,292.71,293.41,0
1.8850648403167725,1.36176,-0.0001E-06NADC,292.67,293.4,0
2.505830764770508,1.361783,+0.0001E-06NADC,292.63,293.4,0
3.126314401626587,1.361795,+0.0101E-06NADC,292.59,293.39,0
3.7455708980560303,1.361821,+0.0013E-06NADC,292.55,293.39,0
4.369754314422607,1.361838,+0.0006E-06NADC,292.51,293.39,0
5.007524728775024,1.361856,-0.0080E-06NADC,292.47,293.38,0
5.646684885025024,1.361864,-0.0028E-06NADC,292.42,293.38,0
6.269400119781494,1.36189,-0.0000E-06NADC,292.38,293.37,0
6.905733823776245,1.361911,+0.0002E-06NADC,292.35,293.37,0
7.526058912277222,1.361922,+0.0040E-06NADC,292.31,293.37,0
8.145890474319458,1.361949,+0.0094E-06NADC,292.26,293.36,0
8.769986391067505,1.36196,+0.0004E-06NADC,292.23,293.36,0
9.405995845794678,1.361972,+0.0005E-06NADC,292.19,293.35,0
10.045065641403198,1.361989,-0.0108E-06NADC,292.14,293.35,0
10.668872594833374,1.362001,+0.0001E-06NADC,292.11,293.35,0
11.305603265762329,1.362016,+0.0001E-06NADC,292.07,293.34,0
11.925008058547974,1.36203,+0.0003E-06NADC,292.03,293.34,0
12.545995712280273,1.36205,+0.0108E-06NADC,291.99,293.33,0
13.169392824172974,1.362071,+0.0002E-06NADC,291.95,293.33,0
13.805468559265137,1.362082,+0.0002E-06NADC,291.91,293.32,0
14.425764322280884,1.362097,+0.0004E-06NADC,291.87,293.32,0
15.045450925827026,1.362106,-0.0110E-06NADC,291.83,293.32,0
15.669340372085571,1.362129,+0.0002E-06NADC,291.79,293.31,0
16.304649829864502,1.362138,+0.0003E-06NADC,291.76,293.31,0
16.925586700439453,1.362155,+0.0031E-06NADC,291.72,293.3,0
17.544992446899414,1.36217,+0.2765E-06NADC,291.68,293.3,0
18.169373273849487,1.362181,+0.0004E-06NADC,291.64,293.29,0
18.805426359176636,1.362196,-0.0005E-06NADC,291.61,293.29,0
19.42512798309326,1.362213,+0.0011E-06NADC,291.57,293.29,0
20.045153617858887,1.362231,-0.0112E-06NADC,291.53,293.28,0
20.668805360794067,1.362239,-0.0002E-06NADC,291.49,293.28,0
21.30569314956665,1.362254,-0.0002E-06NADC,291.46,293.27,0
21.925049781799316,1.362263,-0.0003E-06NADC,291.42,293.27,0
22.545587301254272,1.36228,+0.0106E-06NADC,291.38,293.26,0
23.169408082962036,1.362295,+0.0005E-06NADC,291.34,293.26,0
23.80576205253601,1.362303,+0.0001E-06NADC,291.31,293.25,0
24.425753831863403,1.362321,+0.0003E-06NADC,291.27,293.25,0
25.046194553375244,1.362332,-0.0105E-06NADC,291.23,293.24,0
25.669400215148926,1.362341,-0.0007E-06NADC,291.19,293.24,0
