time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.37575,+0.0002E-06NADC,267.62,267.39
4.213937997817993,1.375753,-0.0090E-06NADC,267.59,267.37
5.233947515487671,1.375756,+0.0000E-06NADC,267.56,267.36
5.854403018951416,1.375753,-0.0000E-06NADC,267.54,267.35
6.474278211593628,1.375759,+0.0001E-06NADC,267.52,267.34
7.101016521453857,1.375762,+0.0095E-06NADC,267.5,267.33
7.733629941940308,1.375767,+0.0000E-06NADC,267.48,267.3
9.313488006591797,1.375764,+0.0096E-06NADC,267.43,267.29
10.332810163497925,1.375767,+0.0002E-06NADC,267.4,267.27
11.353182554244995,1.375767,+0.0004E-06NADC,267.37,267.25
12.372010707855225,1.375759,+0.0001E-06NADC,267.33,267.24
13.398691892623901,1.375773,+0.0001E-06NADC,267.3,267.22
14.411641597747803,1.37577,-0.0089E-06NADC,267.27,267.21
15.031328201293945,1.375767,-0.0006E-06NADC,267.25,267.2
15.65165638923645,1.37577,+0.0000E-06NADC,267.23,267.19
16.27145481109619,1.375776,+0.0002E-06NADC,267.21,267.18
16.898805141448975,1.375782,+0.0079E-06NADC,267.19,267.17
17.530789852142334,1.375776,+0.0025E-06NADC,267.17,267.16
18.150616884231567,1.375776,+0.0000E-06NADC,267.16,267.15
18.770352363586426,1.375779,+0.0002E-06NADC,267.14,267.14
19.397864818572998,1.375779,-0.0023E-06NADC,267.12,267.13
20.030121326446533,1.375782,-0.0088E-06NADC,267.1,267.12
20.650757789611816,1.375785,+0.0000E-06NADC,267.09,267.11
21.27089762687683,1.375785,+0.0000E-06NADC,267.07,267.1
21.889983654022217,1.375782,+0.0000E-06NADC,267.05,267.08
22.530335187911987,1.375788,+0.0095E-06NADC,267.03,267.07
23.149689435958862,1.375785,+0.0002E-06NADC,267.02,267.06
23.77043318748474,1.375794,+0.0001E-06NADC,267.0,267.05
24.39022946357727,1.375785,+0.0000E-06NADC,266.99,267.04
25.031123161315918,1.375794,+0.0001E-06NADC,266.97,267.03
25.671098709106445,1.375791,+0.0001E-06NADC,266.96,267.02
26.29019522666931,1.375796,+0.0000E-06NADC,266.94,267.0
27.672240495681763,1.375794,+0.0000E-06NADC,266.91,266.99
28.309927225112915,1.375794,-0.0000E-06NADC,266.89,266.98
28.930096864700317,1.375799,+0.0096E-06NADC,266.88,266.97
29.5487802028656,1.375799,+0.0001E-06NADC,266.87,266.96
30.169142961502075,1.375805,+0.0004E-06NADC,266.86,266.95
30.789409399032593,1.375802,+0.0002E-06NADC,266.84,266.94
31.428433418273926,1.375808,-0.0092E-06NADC,266.83,266.93
32.04861664772034,1.375799,+0.0001E-06NADC,266.82,266.92
32.668792724609375,1.375808,+0.0000E-06NADC,266.81,266.91
