time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+3.40864300E+00,+1.608218E-03,286.59,276.69,286.58
0.6280679702758789,+3.40864600E+00,+1.608217E-03,286.59,276.69,286.58
1.2705726623535156,+3.40863700E+00,+1.608213E-03,286.58,276.69,286.58
1.9077324867248535,+3.40863500E+00,+1.608223E-03,286.58,276.69,286.58
2.547534942626953,+3.40863500E+00,+1.608211E-03,286.58,276.69,286.57
3.1949567794799805,+3.40862300E+00,+1.608200E-03,286.58,276.68,286.57
3.93100905418396,+3.40862300E+00,+1.608207E-03,286.58,276.68,286.57
4.569284200668335,+3.40861400E+00,+1.608203E-03,286.58,276.68,"[50.0, 5.0, 1.0]"
6.135293483734131,+3.40858200E+00,+1.608199E-03,286.57,276.67,286.57
10.94968295097351,+3.40858200E+00,+1.608187E-03,286.56,276.67,286.56
11.598697423934937,+3.40857600E+00,+1.608187E-03,286.56,276.67,286.56
12.229965448379517,+3.40857600E+00,+1.608182E-03,286.56,276.67,286.56
12.955223560333252,+3.40857100E+00,+1.608187E-03,286.56,276.67,286.56
13.569936990737915,+3.40856500E+00,+1.608182E-03,286.56,276.67,286.56
14.197896480560303,+3.40856200E+00,+1.608180E-03,286.56,276.67,286.56
14.830317735671997,+3.40856200E+00,+1.608170E-03,286.56,276.67,286.56
15.469930410385132,+3.40855900E+00,+1.608176E-03,286.56,276.67,286.56
16.109936237335205,+3.40855000E+00,+1.608174E-03,286.56,276.67,286.56
16.729450225830078,+3.40854400E+00,+1.608183E-03,286.55,276.67,286.56
17.36974573135376,+3.40854400E+00,+1.608171E-03,286.55,276.66,286.55
18.008248329162598,+3.40853900E+00,+1.608170E-03,286.55,276.66,286.55
18.628958702087402,+3.40854100E+00,+1.608158E-03,286.55,276.66,286.55
19.26776623725891,+3.40853000E+00,+1.608166E-03,286.55,276.66,286.55
19.909981727600098,+3.40853000E+00,+1.608164E-03,286.55,276.66,286.55
20.54933452606201,+3.40852700E+00,+1.608173E-03,286.55,276.66,286.55
21.16884160041809,+3.40852100E+00,+1.608160E-03,286.55,276.66,286.55
21.808225393295288,+3.40851800E+00,+1.608159E-03,286.55,276.66,286.55
22.448697566986084,+3.40851200E+00,+1.608156E-03,286.55,276.66,286.55
23.09660768508911,+3.40850900E+00,+1.608155E-03,286.55,276.66,286.54
23.728058338165283,+3.40850900E+00,+1.608163E-03,286.54,276.66,286.54
24.36695957183838,+3.40850700E+00,+1.608153E-03,286.54,276.65,286.54
25.00703525543213,+3.40850100E+00,+1.608151E-03,286.54,276.65,286.54
25.64873242378235,+3.40849800E+00,+1.608148E-03,286.54,276.65,286.54
26.29519772529602,+3.40849800E+00,+1.608147E-03,286.54,276.65,286.54
