time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.378166,+0.0006E-06NADC,199.34,237.43,0
1.005519151687622,1.378175,+0.0006E-06NADC,199.31,237.41,0
1.6060938835144043,1.378181,+0.0001E-06NADC,199.27,237.38,0
2.225628137588501,1.378198,+0.0000E-06NADC,199.23,237.36,0
2.852734327316284,1.37821,+0.0090E-06NADC,199.2,237.33,0
3.463730812072754,1.378219,+0.0012E-06NADC,199.16,237.31,0
4.084040403366089,1.378225,+0.0001E-06NADC,199.13,237.29,0
4.703681230545044,1.37823,+0.0001E-06NADC,199.1,237.26,0
5.324248552322388,1.378236,+0.0002E-06NADC,199.06,237.24,0
5.951669454574585,1.378248,+0.0001E-06NADC,199.04,237.21,0
6.562521696090698,1.378251,-0.0092E-06NADC,199.03,237.19,0
7.18270206451416,1.378265,+0.0000E-06NADC,199.02,237.17,0
7.802822828292847,1.37828,+0.0002E-06NADC,199.03,237.15,0
8.422003269195557,1.378286,+0.0001E-06NADC,199.06,237.12,0
9.061694383621216,1.378294,+0.0097E-06NADC,199.11,237.1,0
9.682152509689331,1.378303,+0.0002E-06NADC,199.17,237.08,0
10.30073618888855,1.378303,+0.0000E-06NADC,199.25,237.06,0
10.922227144241333,1.378318,+0.0001E-06NADC,199.35,237.04,0
11.550003051757812,1.378329,+0.0001E-06NADC,199.49,237.02,0
12.160533428192139,1.378338,+0.0001E-06NADC,199.63,237.0,0
12.80031704902649,1.378344,+0.0000E-06NADC,199.79,236.99,0
13.419863224029541,1.378355,+0.0005E-06NADC,199.96,236.97,0
14.04734468460083,1.378367,+0.0093E-06NADC,200.2,236.96,0
14.679574012756348,1.378367,+0.0008E-06NADC,200.41,236.95,0
15.319499254226685,1.378385,-0.0001E-06NADC,200.69,236.93,0
15.958595514297485,1.37839,-0.0002E-06NADC,200.94,236.93,0
16.59868550300598,1.378405,+0.0001E-06NADC,201.21,236.92,0
17.237667083740234,1.378405,+0.0080E-06NADC,201.54,236.91,0
17.877481937408447,1.378419,-0.0007E-06NADC,201.84,236.91,0
18.51744270324707,1.378434,-0.0000E-06NADC,202.2,236.91,0
19.163238048553467,1.378437,+0.0005E-06NADC,202.53,236.91,0
19.797723054885864,1.378443,+0.0002E-06NADC,202.87,236.92,0
20.435696601867676,1.378457,+0.0090E-06NADC,203.33,236.92,0
21.158801078796387,1.378466,+0.0002E-06NADC,203.7,236.93,0
21.795348405838013,1.378466,+0.0003E-06NADC,204.07,236.94,0
