time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.377722,-0.0001E-06NADC,201.11,238.59,0
0.6338000297546387,1.377733,+0.0002E-06NADC,201.07,238.57,0
1.2655234336853027,1.377739,+0.0001E-06NADC,201.03,238.54,0
1.9046435356140137,1.377751,-0.0092E-06NADC,200.99,238.52,0
2.5452487468719482,1.377759,+0.0000E-06NADC,200.96,238.49,0
3.184734344482422,1.377774,+0.0000E-06NADC,200.92,238.47,0
3.831936836242676,1.377783,+0.0000E-06NADC,200.88,238.45,0
4.464147567749023,1.377794,+0.0000E-06NADC,200.85,238.42,0
5.133021116256714,1.377797,+0.0000E-06NADC,200.8,238.4,0
5.763683557510376,1.377806,+0.0000E-06NADC,200.77,238.37,0
6.404245376586914,1.377815,+0.0094E-06NADC,200.73,238.35,0
7.043391942977905,1.377826,+0.0001E-06NADC,200.69,238.33,0
7.662062168121338,1.377838,+0.0001E-06NADC,200.66,238.3,0
8.303308486938477,1.377844,+0.0001E-06NADC,200.62,238.28,0
8.922430992126465,1.377852,-0.0001E-06NADC,200.58,238.25,0
9.562093019485474,1.377864,+0.0003E-06NADC,200.55,238.23,0
10.182186365127563,1.37787,-0.0000E-06NADC,200.51,238.21,0
10.802242279052734,1.377881,-0.0001E-06NADC,200.48,238.19,0
11.421427726745605,1.377887,+0.0008E-06NADC,200.44,238.16,0
12.06186556816101,1.377896,+0.0001E-06NADC,200.4,238.14,0
12.680949211120605,1.377908,+0.0001E-06NADC,200.37,238.12,0
13.299347639083862,1.377919,+0.0000E-06NADC,200.33,238.09,0
