time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+8.84663000E-03,+2.9137E-06,185.24,182.99,185.23
0.4870598316192627,+8.84338000E-03,+2.9101E-06,185.24,182.99,185.23
1.0086960792541504,+8.83835000E-03,+2.9109E-06,185.24,182.99,185.24
1.4994606971740723,+8.83599000E-03,+2.9048E-06,185.24,182.99,185.24
1.9878606796264648,+8.83169000E-03,+2.9063E-06,185.24,182.99,185.24
2.5001327991485596,+8.82890000E-03,+2.9028E-06,185.24,182.99,185.24
3.000901699066162,+8.82405000E-03,+2.9018E-06,185.23,182.99,185.25
3.510169267654419,+8.81980000E-03,+2.9028E-06,185.23,182.99,185.25
4.000194311141968,+8.81785000E-03,+2.9019E-06,185.23,182.99,185.25
4.499200344085693,+8.81434000E-03,+2.8995E-06,185.23,182.99,185.25
5.0103349685668945,+8.81006000E-03,+2.9002E-06,185.23,182.99,185.26
5.498203754425049,+8.80811000E-03,+2.8978E-06,185.23,182.99,185.26
6.010289430618286,+8.80338000E-03,+2.8962E-06,185.23,182.99,185.26
6.5113441944122314,+8.79983000E-03,+2.8953E-06,185.23,182.98,185.26
7.010570526123047,+8.79599000E-03,+2.8966E-06,185.23,182.98,185.27
7.49868369102478,+8.79364000E-03,+2.8933E-06,185.23,182.98,185.27
8.046505689620972,+8.78968000E-03,+2.8899E-06,185.23,182.98,185.27
8.530033588409424,+8.78666000E-03,+2.8933E-06,185.23,182.98,185.27
9.01112699508667,+8.78294000E-03,+2.8920E-06,185.23,182.98,185.28
9.499873638153076,+8.77954000E-03,+2.8912E-06,185.22,182.98,185.28
9.988591194152832,+8.77660000E-03,+2.8876E-06,185.22,182.98,185.28
10.51066780090332,+8.77218000E-03,+2.8872E-06,185.22,182.98,185.28
11.011492252349854,+8.76899000E-03,+2.8853E-06,185.22,182.98,185.29
11.510196447372437,+8.76442000E-03,+2.8865E-06,185.22,182.98,185.29
11.988915205001831,+8.76285000E-03,+2.8835E-06,185.22,182.98,185.29
12.512726545333862,+8.75797000E-03,+2.8814E-06,185.22,182.98,185.29
13.016513586044312,+8.75468000E-03,+2.8830E-06,185.22,182.97,185.3
13.51371455192566,+8.75178000E-03,+2.8816E-06,185.22,182.97,185.3
14.00129771232605,+8.74928000E-03,+2.8806E-06,185.22,182.97,185.3
14.50108027458191,+8.74477000E-03,+2.8793E-06,185.22,182.97,185.3
15.002464532852173,+8.74274000E-03,+2.8786E-06,185.22,182.97,185.31
15.50134539604187,+8.73765000E-03,+2.8775E-06,185.22,182.97,185.31
16.00227928161621,+8.73640000E-03,+2.8766E-06,185.22,182.97,185.31
16.50259494781494,+8.73114000E-03,+2.8752E-06,185.22,182.97,185.31
17.00344228744507,+8.72890000E-03,+2.8721E-06,185.22,182.97,185.32
17.515174865722656,+8.72407000E-03,+2.8717E-06,185.22,182.97,185.32
18.015268564224243,+8.72093000E-03,+2.8711E-06,185.22,182.97,185.32
18.515214204788208,+8.71814000E-03,+2.8692E-06,185.22,182.97,185.32
19.017073392868042,+8.71419000E-03,+2.8688E-06,185.22,182.97,185.33
19.540279865264893,+8.71082000E-03,+2.8677E-06,185.22,182.96,185.33
20.05712866783142,+8.70710000E-03,+2.8665E-06,185.22,182.96,185.33
20.579944849014282,+8.70480000E-03,+2.8651E-06,185.22,182.96,185.33
21.08367681503296,+8.69942000E-03,+2.8648E-06,185.22,182.96,185.34
21.606942415237427,+8.69742000E-03,+2.8613E-06,185.22,182.96,185.34
22.10687518119812,+8.69221000E-03,+2.8605E-06,185.23,182.96,185.34
22.60788321495056,+8.69070000E-03,+2.8590E-06,185.23,182.96,185.34
23.10786247253418,+8.68553000E-03,+2.8587E-06,185.23,182.96,185.35
23.607776880264282,+8.68375000E-03,+2.8576E-06,185.23,182.96,185.35
24.107580184936523,+8.67855000E-03,+2.8563E-06,185.23,182.96,185.35
24.60993480682373,+8.67640000E-03,+2.8554E-06,185.23,182.96,185.35
25.108123064041138,+8.67137000E-03,+2.8545E-06,185.23,182.96,185.36
25.60926580429077,+8.66986000E-03,+2.8538E-06,185.23,182.96,185.36
26.108649253845215,+8.66509000E-03,+2.8529E-06,185.24,182.96,185.36
26.611387252807617,+8.66335000E-03,+2.8519E-06,185.24,182.95,185.36
27.109472513198853,+8.65875000E-03,+2.8504E-06,185.24,182.95,185.37
27.60982632637024,+8.65692000E-03,+2.8492E-06,185.24,182.95,185.37
28.10911750793457,+8.65152000E-03,+2.8485E-06,185.24,182.95,185.37
28.611316919326782,+8.65044000E-03,+2.8463E-06,185.25,182.95,185.37
29.110756635665894,+8.64431000E-03,+2.8459E-06,185.25,182.95,185.38
29.610731840133667,+8.64245000E-03,+2.8442E-06,185.25,182.95,185.38
30.109687566757202,+8.63771000E-03,+2.8439E-06,185.25,182.95,185.38
30.772581577301025,+8.63538000E-03,+2.8420E-06,185.26,182.95,185.39
31.310993909835815,+8.62995000E-03,+2.8403E-06,185.26,182.95,185.39
31.808752298355103,+8.62806000E-03,+2.8393E-06,185.26,182.95,185.39
32.30762720108032,+8.62250000E-03,+2.8382E-06,185.26,182.95,185.39
32.80839538574219,+8.62120000E-03,+2.8367E-06,185.27,182.95,185.4
33.307090282440186,+8.61622000E-03,+2.8357E-06,185.27,182.95,185.4
33.808449506759644,+8.61428000E-03,+2.8349E-06,185.27,182.94,185.4
34.30831050872803,+8.60936000E-03,+2.8343E-06,185.27,182.94,185.4
34.808128118515015,+8.60768000E-03,+2.8325E-06,185.28,182.94,185.41
35.308273792266846,+8.60262000E-03,+2.8309E-06,185.28,182.94,185.41
35.80921292304993,+8.60090000E-03,+2.8300E-06,185.28,182.94,185.41
36.307910442352295,+8.59573000E-03,+2.8293E-06,185.29,182.94,185.41
36.812106132507324,+8.59399000E-03,+2.8306E-06,185.29,182.94,185.42
37.27884554862976,+8.59000000E-03,+2.8295E-06,185.29,182.94,185.42
37.759845495224,+8.58747000E-03,+2.8329E-06,185.3,182.94,185.42
38.24040150642395,+8.58497000E-03,+2.8277E-06,185.3,182.94,185.42
38.7202033996582,+8.58210000E-03,+2.8268E-06,185.3,182.94,185.42
39.20942163467407,+8.57910000E-03,+2.8257E-06,185.31,182.94,185.43
39.68065643310547,+8.57477000E-03,+2.8246E-06,185.31,182.94,185.43
40.16096353530884,+8.57195000E-03,+2.8277E-06,185.31,182.94,185.43
40.64094305038452,+8.56945000E-03,+2.8230E-06,185.32,182.94,185.43
41.12126040458679,+8.56634000E-03,+2.8218E-06,185.32,182.94,185.44
41.609833002090454,+8.56361000E-03,+2.8206E-06,185.32,182.94,185.44
42.08100628852844,+8.55902000E-03,+2.8193E-06,185.33,182.94,185.44
42.691956758499146,+8.55590000E-03,+2.8182E-06,185.33,182.93,185.44
43.18080258369446,+8.55361000E-03,+2.8172E-06,185.34,182.93,185.45
43.662020444869995,+8.54936000E-03,+2.8114E-06,185.34,182.93,185.45
44.14221405982971,+8.54614000E-03,+2.8171E-06,185.35,182.93,185.45
44.64296555519104,+8.54230000E-03,+2.8137E-06,185.35,182.93,185.45
45.12335801124573,+8.53977000E-03,+2.8125E-06,185.35,182.93,185.46
45.61131429672241,+8.53745000E-03,+2.8115E-06,185.36,182.93,185.46
46.08291506767273,+8.53236000E-03,+2.8081E-06,185.36,182.93,185.46
46.58349847793579,+8.53047000E-03,+2.8090E-06,185.37,182.93,185.46
47.06355404853821,+8.52727000E-03,+2.8038E-06,185.37,182.93,185.47
47.54339551925659,+8.52425000E-03,+2.8068E-06,185.37,182.93,185.47
48.02329182624817,+8.52117000E-03,+2.8062E-06,185.38,182.93,185.47
48.51447057723999,+8.51855000E-03,+2.8056E-06,185.38,182.93,185.47
49.01334285736084,+8.51576000E-03,+2.8038E-06,185.39,182.93,185.48
49.519444942474365,+8.51215000E-03,+2.8033E-06,185.39,182.93,185.48
50.013988733291626,+8.50971000E-03,+2.8016E-06,185.39,182.93,185.48
50.48485040664673,+8.50445000E-03,+2.8009E-06,185.4,182.93,185.48
50.96592164039612,+8.50230000E-03,+2.8044E-06,185.4,182.93,185.49
51.44507670402527,+8.49916000E-03,+2.7991E-06,185.41,182.93,185.49
51.926764726638794,+8.49672000E-03,+2.7979E-06,185.41,182.93,185.49
52.41513705253601,+8.49358000E-03,+2.7967E-06,185.42,182.93,185.49
52.91411852836609,+8.49026000E-03,+2.7963E-06,185.42,182.92,185.5
53.4272575378418,+8.48759000E-03,+2.7947E-06,185.43,182.92,185.5
53.91537427902222,+8.48422000E-03,+2.7936E-06,185.43,182.92,185.5
54.4152250289917,+8.48108000E-03,+2.7930E-06,185.43,182.92,185.5
54.91583824157715,+8.47832000E-03,+2.7919E-06,185.44,182.92,185.51
55.41591691970825,+8.47512000E-03,+2.7907E-06,185.44,182.92,185.51
55.9157235622406,+8.47183000E-03,+2.7894E-06,185.45,182.92,185.51
56.41626477241516,+8.46887000E-03,+2.7886E-06,185.45,182.92,185.51
56.91583847999573,+8.46561000E-03,+2.7873E-06,185.46,182.92,185.52
57.41760802268982,+8.46314000E-03,+2.7874E-06,185.46,182.92,185.52
57.91606020927429,+8.45983000E-03,+2.7854E-06,185.46,182.92,185.52
58.41645097732544,+8.45698000E-03,+2.7843E-06,185.47,182.92,185.52
58.915624141693115,+8.45326000E-03,+2.7833E-06,185.47,182.92,185.53
59.416125535964966,+8.45047000E-03,+2.7824E-06,185.48,182.92,185.53
59.91485118865967,+8.44707000E-03,+2.7813E-06,185.48,182.92,185.53
60.41623902320862,+8.44451000E-03,+2.7805E-06,185.48,182.92,185.53
60.916428565979004,+8.44137000E-03,+2.7796E-06,185.49,182.92,185.54
61.41688370704651,+8.43872000E-03,+2.7783E-06,185.49,182.92,185.54
61.91605234146118,+8.43518000E-03,+2.7774E-06,185.5,182.92,185.54
62.4159369468689,+8.43265000E-03,+2.7759E-06,185.5,182.92,185.54
62.91600036621094,+8.42849000E-03,+2.7755E-06,185.5,182.92,185.55
63.41674995422363,+8.42715000E-03,+2.7738E-06,185.51,182.92,185.55
63.91589641571045,+8.42300000E-03,+2.7738E-06,185.51,182.92,185.55
64.4174256324768,+8.42093000E-03,+2.7718E-06,185.52,182.92,185.55
64.9310097694397,+8.41599000E-03,+2.7706E-06,185.52,182.92,185.56
65.41761565208435,+8.41541000E-03,+2.7702E-06,185.52,182.92,185.56
