time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+3.38694400E+00,+1.597965E-03,279.73,270.33,279.72,";
"
0.6319668292999268,+3.38694400E+00,+1.597966E-03,279.73,270.33,279.72,";
"
1.271270990371704,+3.38693200E+00,+1.597964E-03,279.73,270.33,279.72,";
"
1.9121379852294922,+3.38693200E+00,+1.597973E-03,279.73,270.33,279.72,";
"
2.551405429840088,+3.38692600E+00,+1.597962E-03,279.73,270.33,279.72,";
"
3.1999545097351074,+3.38692900E+00,+1.597961E-03,279.73,270.32,279.72,";
"
3.830833673477173,+3.38692400E+00,+1.597959E-03,279.73,270.32,279.72,";
"
4.472144365310669,+3.38692100E+00,+1.597958E-03,279.73,270.32,279.72,";
"
5.111498117446899,+3.38691800E+00,+1.597966E-03,279.73,270.32,279.72,";
"
5.7523438930511475,+3.38691500E+00,+1.597953E-03,279.72,270.32,279.71,";
"
6.400417804718018,+3.38691200E+00,+1.597953E-03,279.72,270.32,279.71,";
"
7.032001256942749,+3.38690600E+00,+1.597951E-03,279.72,270.32,279.71,";
"
7.671916246414185,+3.38690900E+00,+1.597950E-03,279.72,270.32,279.71,";
"
8.312037706375122,+3.38690300E+00,+1.597958E-03,279.72,270.32,279.71,";
"
8.950960397720337,+3.38690000E+00,+1.597947E-03,279.72,270.32,279.71,";
"
9.713536500930786,+3.38689400E+00,+1.597955E-03,279.72,270.31,279.71,";
"
10.352192163467407,+3.38689700E+00,+1.597944E-03,279.72,270.31,279.71,";
"
10.998135089874268,+3.38689200E+00,+1.597944E-03,279.72,270.31,279.71,";
"
11.770387411117554,+3.38688900E+00,+1.597941E-03,279.72,270.31,279.7,";
"
12.410812377929688,+3.38688300E+00,+1.597930E-03,279.72,270.31,279.7,";
"
13.050969123840332,+3.38688300E+00,+1.597938E-03,279.71,270.31,279.7,";
"
13.699011087417603,+3.38687700E+00,+1.597938E-03,279.71,270.31,279.7,";
"
14.330530881881714,+3.38687400E+00,+1.597936E-03,279.71,270.31,279.7,";
"
14.970947027206421,+3.38687100E+00,+1.597934E-03,279.71,270.31,279.7,";
"
