time [s],voltage [V],current [...],temperature_A [K],temperature_B [K],setpoint [K],heater_range
0.0,+3.45735800E+00,+1.631272E-03,294.72,302.51,290.0,high
0.6548407077789307,+3.45735200E+00,+1.631271E-03,294.73,302.51,290.0,high
1.2659969329833984,+3.45734000E+00,+1.631265E-03,294.75,302.5,290.0,high
1.8850150108337402,+3.45733200E+00,+1.631262E-03,294.76,302.5,290.0,high
2.5063493251800537,+3.45732600E+00,+1.631248E-03,294.77,302.49,290.0,high
3.1263749599456787,+3.45732300E+00,+1.631256E-03,294.78,302.48,290.0,high
3.7656545639038086,+3.45731700E+00,+1.631251E-03,294.8,302.48,290.0,high
4.404498100280762,+3.45730800E+00,+1.631247E-03,294.81,302.47,290.0,high
5.065230131149292,+3.45729700E+00,+1.631244E-03,294.82,302.46,290.0,high
5.813685894012451,+3.45728800E+00,+1.631240E-03,294.84,302.46,290.0,high
6.452360153198242,+3.45727600E+00,+1.631235E-03,294.85,302.45,290.0,high
7.10370135307312,+3.45727600E+00,+1.631234E-03,294.86,302.45,290.0,high
7.7532877922058105,+3.45726200E+00,+1.631228E-03,294.87,302.44,290.0,high
8.3846914768219,+3.45725300E+00,+1.631235E-03,294.89,302.44,290.0,high
9.024658918380737,+3.45725000E+00,+1.631222E-03,294.9,302.43,290.0,high
9.668018817901611,+3.45723900E+00,+1.631219E-03,294.91,302.42,290.0,high
10.303409576416016,+3.45723300E+00,+1.631211E-03,294.92,302.42,290.0,high
10.950720310211182,+3.45722400E+00,+1.631210E-03,294.94,302.41,290.0,high
11.583469152450562,+3.45721500E+00,+1.631212E-03,294.95,302.41,290.0,high
12.223145008087158,+3.45721500E+00,+1.631205E-03,294.96,302.4,290.0,high
12.862627029418945,+3.45720700E+00,+1.631204E-03,294.97,302.4,290.0,high
13.501785039901733,+3.45720400E+00,+1.631189E-03,294.98,302.39,290.0,high
14.148715734481812,+3.45718900E+00,+1.631191E-03,295.0,302.38,290.0,high
14.781772375106812,+3.45718600E+00,+1.631191E-03,295.01,302.38,290.0,high
15.420607328414917,+3.45717500E+00,+1.631190E-03,295.02,302.37,290.0,high
16.061933994293213,+3.45716900E+00,+1.631186E-03,295.03,302.37,290.0,high
16.70131015777588,+3.45716600E+00,+1.631172E-03,295.04,302.36,290.0,high
17.348586082458496,+3.45715700E+00,+1.631178E-03,295.05,302.36,290.0,high
17.981454372406006,+3.45714800E+00,+1.631176E-03,295.06,302.35,290.0,high
18.60000514984131,+3.45714800E+00,+1.631182E-03,295.06,302.34,290.0,high
19.247878313064575,+3.45713700E+00,+1.631170E-03,295.07,302.34,290.0,high
19.879820585250854,+3.45713700E+00,+1.631166E-03,295.07,302.34,290.0,high
20.518001794815063,+3.45712500E+00,+1.631164E-03,295.07,302.33,290.0,high
21.161263942718506,+3.45712200E+00,+1.631159E-03,295.07,302.32,290.0,high
21.97932505607605,+3.45710500E+00,+1.631151E-03,295.06,302.32,290.0,high
22.99785280227661,+3.45709300E+00,+1.631146E-03,295.05,302.31,290.0,high
24.016868114471436,+3.45707900E+00,+1.631150E-03,295.03,302.3,290.0,high
25.04498529434204,+3.45707300E+00,+1.631135E-03,295.01,302.29,290.0,high
25.679084300994873,+3.45706400E+00,+1.631130E-03,294.99,302.29,290.0,high
26.316492319107056,+3.45705200E+00,+1.631127E-03,294.96,302.28,290.0,high
26.95643901824951,+3.45705000E+00,+1.631124E-03,294.94,302.28,290.0,high
27.575716018676758,+3.45703500E+00,+1.631121E-03,294.91,302.28,290.0,high
28.195841550827026,+3.45703200E+00,+1.631118E-03,294.88,302.27,290.0,high
28.817241191864014,+3.45702300E+00,+1.631115E-03,294.83,302.27,290.0,high
29.455976724624634,+3.45701800E+00,+1.631111E-03,294.79,302.26,290.0,high
30.07565665245056,+3.45700600E+00,+1.631107E-03,294.75,302.26,290.0,high
30.728719472885132,+3.45700000E+00,+1.631102E-03,294.7,302.26,290.0,high
31.375895977020264,+3.45699100E+00,+1.631100E-03,294.64,302.25,290.0,high
32.066678047180176,+3.45698800E+00,+1.631096E-03,294.59,302.25,290.0,high
32.742697954177856,+3.45697400E+00,+1.631092E-03,294.52,302.24,290.0,high
33.409992933273315,+3.45697100E+00,+1.631098E-03,294.46,302.24,290.0,high
34.07358908653259,+3.45695700E+00,+1.631089E-03,294.33,302.23,290.0,high
35.24091720581055,+3.45694800E+00,+1.631076E-03,294.21,302.22,290.0,high
36.30912256240845,+3.45693000E+00,+1.631071E-03,294.08,302.21,290.0,high
37.27262806892395,+3.45691600E+00,+1.631065E-03,293.95,302.2,290.0,high
38.293142795562744,+3.45691000E+00,+1.631058E-03,293.81,302.19,290.0,high
39.31251859664917,+3.45689800E+00,+1.631053E-03,293.62,302.17,290.0,high
40.55711102485657,+3.45689000E+00,+1.631048E-03,293.53,302.17,290.0,high
41.20310306549072,+3.45687500E+00,+1.631045E-03,293.44,302.16,290.0,high
