time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+2.38621900E+00,+1.125554E-03,210.0,205.0,210.0
0.628899097442627,+2.38613500E+00,+1.125503E-03,210.0,205.0,210.0
1.2701795101165771,+2.38605600E+00,+1.125538E-03,210.0,205.0,210.0
1.9079113006591797,+2.38602100E+00,+1.125458E-03,210.0,205.0,210.0
2.549255132675171,+2.38595800E+00,+1.125439E-03,210.0,205.0,209.99
3.187758207321167,+2.38590500E+00,+1.125428E-03,210.0,205.0,209.99
3.82670521736145,+2.38586200E+00,+1.125386E-03,210.0,205.0,209.99
4.467222452163696,+2.38581800E+00,+1.125379E-03,210.0,205.0,209.99
5.106957197189331,+2.38576800E+00,+1.125355E-03,210.0,205.0,209.99
5.726550340652466,+2.38572500E+00,+1.125350E-03,210.0,205.0,209.99
6.366807222366333,+2.38569300E+00,+1.125322E-03,210.0,205.0,209.99
6.986805438995361,+2.38564900E+00,+1.125312E-03,210.0,205.0,209.99
7.605705499649048,+2.38562000E+00,+1.125286E-03,210.0,205.0,209.99
8.225792646408081,+2.38558200E+00,+1.125281E-03,210.0,205.0,209.99
8.849892854690552,+2.38555900E+00,+1.125267E-03,210.0,205.0,209.98
9.485799074172974,+2.38552400E+00,+1.125240E-03,210.0,205.0,209.98
10.104679584503174,+2.38549200E+00,+1.125237E-03,210.0,205.0,209.98
10.725962162017822,+2.38546300E+00,+1.125221E-03,210.0,205.0,209.98
11.34998345375061,+2.38544000E+00,+1.125210E-03,210.0,205.0,209.98
11.984778642654419,+2.38540500E+00,+1.125200E-03,210.0,205.0,209.98
12.605735540390015,+2.38538200E+00,+1.125180E-03,210.0,205.0,209.98
13.224538087844849,+2.38535000E+00,+1.125171E-03,210.0,205.0,209.98
13.853290557861328,+2.38532900E+00,+1.125153E-03,210.0,205.0,209.98
14.48616075515747,+2.38530900E+00,+1.125145E-03,210.0,205.0,209.97
15.124884605407715,+2.38527100E+00,+1.125133E-03,210.0,205.0,209.97
15.749886512756348,+2.38525100E+00,+1.125122E-03,210.0,205.0,209.97
16.391338109970093,+2.38523100E+00,+1.125117E-03,210.0,205.0,209.97
